Time_s,,,F1_Hz,,,F2_Hz,,,F3_Hz,,,F4_Hz
23.749835,,,353.179902,,,1836.105463,,,2392.345527,,,3437.918735
23.756085,,,359.513635,,,1834.494395,,,2357.351755,,,3452.139935
23.762335,,,361.535826,,,1820.309069,,,2301.857917,,,3414.682258
23.768585,,,363.305733,,,1831.507339,,,2316.571932,,,3320.814553
23.774835,,,361.974621,,,1821.645264,,,2301.182715,,,3464.469485
23.781085,,,354.971497,,,1798.516243,,,2310.487608,,,3495.776528
23.787335,,,348.033198,,,1793.887031,,,2287.910512,,,3507.486999
23.793585,,,343.232722,,,1811.510519,,,2278.556193,,,3515.569402
23.799835,,,335.873688,,,1818.341714,,,2292.382098,,,3533.467041
23.806085,,,340.799986,,,1779.388433,,,2317.331101,,,3509.424856
23.812335,,,344.156106,,,1772.415593,,,2351.294725,,,3501.940056
23.818585,,,345.281265,,,1758.185032,,,2352.699414,,,3515.366381
23.824835,,,344.127985,,,1727.229966,,,2381.079883,,,3526.518231
23.831085,,,338.400973,,,1690.222547,,,2365.735186,,,3468.686408
23.837335,,,324.080527,,,1688.472552,,,2392.461665,,,3485.923305
23.843585,,,324.228498,,,1681.619431,,,2376.88612,,,3519.696449
23.849835,,,334.620908,,,1700.930186,,,2388.098129,,,3530.308203
23.856085,,,325.691696,,,1670.531805,,,2445.896825,,,3484.645658
