Time_s,,,F1_Hz,,,F2_Hz,,,F3_Hz,,,F4_Hz
32.319356,,,350.149616,,,2461.643158,,,2498.755609,,,4135.234604
32.325606,,,356.683914,,,2350.091274,,,2779.556381,,,4553.732743
32.331856,,,363.158797,,,2230.921891,,,2778.911965,,,4066.224793
32.338106,,,358.547906,,,2242.880797,,,2787.480967,,,4347.067137
32.344356,,,360.849721,,,2212.900967,,,2797.603594,,,4267.942366
32.350606,,,365.142284,,,2147.624698,,,2780.747939,,,4259.592095
32.356856,,,364.042849,,,2062.27523,,,2758.611793,,,4347.041156
32.363106,,,354.192921,,,2003.53161,,,2771.250989,,,4408.351145
32.369356,,,345.820971,,,2003.584415,,,2829.776503,,,4425.455589
32.375606,,,356.805981,,,1953.720533,,,2833.170387,,,4301.518553
32.381856,,,378.667973,,,1878.146398,,,2823.017248,,,4286.065887
32.388106,,,384.758744,,,1871.086156,,,2792.305089,,,4324.46238
32.394356,,,373.349954,,,1852.776141,,,2793.080709,,,4306.966729
32.400606,,,386.51356,,,1830.909946,,,2842.35282,,,4366.751368
32.406856,,,416.873854,,,1854.606821,,,2873.730408,,,4378.459214
32.413106,,,403.879298,,,1884.683429,,,2857.312915,,,4365.825311
32.419356,,,403.670717,,,1887.109486,,,2891.071084,,,4378.002433
32.425606,,,426.770582,,,1860.524382,,,2896.050182,,,4378.641264
32.431856,,,429.17687,,,1795.544682,,,2899.244407,,,4314.570042
32.438106,,,428.499874,,,1786.644169,,,2999.668276,,,4334.647691
32.444356,,,425.81603,,,1770.928629,,,2974.941158,,,4357.966504
32.450606,,,461.397302,,,1789.526353,,,2956.68311,,,4316.74378
32.456856,,,498.620619,,,1828.661321,,,2992.871941,,,4223.377746
32.463106,,,388.734111,,,1776.017712,,,3004.179503,,,4232.370959
32.469356,,,342.648056,,,1756.824884,,,2992.77063,,,4216.71889
32.475606,,,360.292233,,,1796.543841,,,2996.951387,,,4316.17101
