Time_s,,,F1_Hz,,,F2_Hz,,,F3_Hz,,,F4_Hz
16.624826,,,299.832721,,,1966.590875,,,2811.592546,,,3573.40605
16.631076,,,332.484387,,,1981.023234,,,3065.128207,,,3257.48
16.637326,,,406.360824,,,1999.155247,,,2914.158094,,,4352.193149
16.643576,,,426.223587,,,1953.607849,,,2967.731513,,,4531.548317
16.649826,,,411.656659,,,1930.522251,,,2886.119806,,,4516.750371
16.656076,,,376.371686,,,1920.269974,,,2857.416105,,,4467.722751
16.662326,,,345.464169,,,1985.313888,,,2891.688645,,,4047.467083
16.668576,,,331.036409,,,1927.35629,,,2931.717327,,,4385.449884
16.674826,,,319.438293,,,1861.96138,,,2941.989706,,,4007.316891
16.681076,,,275.298616,,,1830.057141,,,2876.326897,,,3926.985233
